"ID","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulphur dioxide","total sulphur dioxide","density","pH","sulphates","alcohol"
921,9.6,0.41,0.37,2.3,0.091,10,23,"High",3.24,0.56,10.5
701,10.6,1.02,0.43,2.9,0.076,26,88,"High",3.08,0.57,10.1
480,9.4,0.685,0.11,2.7,0.077,6,31,"High",3.19,0.7,10.1
260,10,0.31,0.47,2.6,0.085,14,33,"High",3.36,0.8,10.5
464,8.1,0.66,0.7,2.2,0.098,25,129,"Medium",3.08,0.53,9
243,7.7,0.58,0.1,1.8,0.102,28,109,"Low",3.08,0.49,9.8
1546,6.5,0.63,0.33,1.8,0.059,16,28,"Low",3.36,0.64,10.1
1325,6.7,0.46,0.24,1.7,0.077,18,34,"Low",3.39,0.6,10.6
1529,7.9,0.29,0.49,2.2,0.096,21,59,"Medium",3.31,0.67,10.1
1308,6.8,0.68,0.09,3.9,0.068,15,29,"Low",3.41,0.52,11.1
1088,7.9,0.19,0.42,1.6,0.057,18,30,"Low",3.29,0.69,11.2
867,6.8,0.49,0.22,2.3,0.071,13,24,"Low",3.41,0.83,11.3
1071,9.3,0.33,0.45,1.5,0.057,19,37,"Low",3.18,0.89,11.1
851,9.3,0.43,0.44,1.9,0.085,9,22,"Medium",3.28,0.55,9.5
630,7.6,0.685,0.23,2.3,0.111,20,84,"Medium",3.21,0.61,9.3
335,7.9,0.65,0.01,2.5,0.078,17,38,"Medium",3.34,0.74,11.7
538,8.1,0.825,0.24,2.1,0.084,5,13,"Medium",3.37,0.77,10.7
318,9.6,0.77,0.12,2.9,0.082,30,74,"High",3.3,0.64,10.4
97,6.8,0.775,0,3,0.102,8,23,"Medium",3.45,0.56,10.7
1475,9.9,0.5,0.5,13.8,0.205,48,82,"High",3.16,0.75,8.8
81,6.2,0.45,0.2,1.6,0.069,3,15,"Low",3.41,0.56,9.2
1458,7.6,0.49,0.33,1.9,0.074,27,85,"Medium",3.41,0.58,9
1238,7.1,0.75,0.01,2.2,0.059,11,18,"Low",3.39,0.4,12.8
1017,8.9,0.38,0.4,2.2,0.068,12,28,"Low",3.27,0.75,12.6
1146,8.2,0.2,0.43,2.5,0.076,31,51,"Medium",3.53,0.81,10.4
925,8.6,0.47,0.27,2.3,0.055,14,28,"Low",3.18,0.8,11.2
705,9.1,0.765,0.04,1.6,0.078,4,14,"High",3.29,0.54,9.7
484,10.6,0.36,0.6,2.2,0.152,7,18,"High",3.04,1.06,9.4
688,9.1,0.64,0.23,3.1,0.095,13,38,"High",3.28,0.59,9.7
468,8.8,0.46,0.45,2.6,0.065,7,18,"Low",3.32,0.79,14
247,7.1,0.68,0.07,1.9,0.075,16,51,"Medium",3.38,0.52,9.5
451,11.9,0.39,0.69,2.8,0.095,17,35,"High",3.1,0.61,10.8
230,6.9,0.52,0.25,2.6,0.081,10,37,"Medium",3.46,0.5,11
1533,7.2,0.53,0.13,2,0.058,18,22,"Low",3.21,0.68,9.9
1312,6.5,0.51,0.15,3,0.064,12,27,"Low",3.33,0.59,12.8
1516,6.9,0.84,0.21,4.1,0.074,16,65,"High",3.53,0.72,9.25
1296,6.6,0.63,0,4.3,0.093,51,77.5,"Low",3.2,0.45,9.5
1075,7.5,0.77,0.2,8.1,0.098,30,92,"High",3.2,0.58,9.2
855,9.3,0.36,0.39,1.5,0.08,41,55,"Medium",3.47,0.73,10.9
1058,7.6,0.42,0.25,3.9,0.104,28,90,"High",3.15,0.57,9.1
838,6.7,0.28,0.28,2.4,0.012,36,100,"Low",3.26,0.39,11.7
617,9.6,0.6,0.5,2.3,0.079,28,71,"High",3.5,0.57,9.7
1121,7.9,0.54,0.34,2.5,0.076,8,17,"Low",3.2,0.72,13.1
1104,7.4,0.49,0.27,2.1,0.071,14,25,"Low",3.35,0.63,12
884,7.2,0.6,0.04,2.5,0.076,18,88,"Medium",3.53,0.55,9.5
663,7.2,0.57,0.06,1.6,0.076,9,27,"Medium",3.36,0.7,9.6
646,7.8,0.64,0.1,6,0.115,5,11,"High",3.37,0.69,10.1
426,6.6,0.84,0.03,2.3,0.059,32,48,"Low",3.52,0.56,12.3
205,7,0.43,0.36,1.6,0.089,14,37,"Medium",3.34,0.56,9.2
334,8.4,0.56,0.08,2.1,0.105,16,44,"Low",3.13,0.52,11
114,10.1,0.31,0.44,2.3,0.08,22,46,"High",3.32,0.67,9.7
1491,7.1,0.22,0.49,1.8,0.039,8,18,"Low",3.39,0.56,12.4
1271,5,0.38,0.01,1.6,0.048,26,60,"Low",3.7,0.75,14
1474,6.1,0.6,0.08,1.8,0.071,14,45,"Low",3.38,0.54,11
1254,7.9,0.66,0,1.4,0.096,6,13,"Low",3.43,0.58,9.5
1033,8.1,0.82,0,4.1,0.095,5,14,"High",3.36,0.53,9.6
813,10.8,0.45,0.33,2.5,0.099,20,38,"High",3.24,0.71,10.8
721,8.4,0.56,0.04,2,0.082,10,22,"High",3.22,0.44,9.6
501,7.8,0.52,0.25,1.9,0.081,14,38,"High",3.43,0.65,9
280,8.9,0.4,0.32,5.6,0.087,10,47,"High",3.38,0.77,10.5
263,8,0.52,0.03,1.7,0.07,10,35,"Low",3.34,0.57,10
43,7.5,0.49,0.2,2.6,0.332,8,14,"Medium",3.21,0.9,10.5
1420,7.7,0.64,0.21,2.2,0.077,32,133,"Low",3.27,0.45,9.9
26,6.3,0.39,0.16,1.4,0.08,11,23,"Low",3.34,0.56,9.3
1404,7.2,0.33,0.33,1.7,0.061,3,13,"Low",3.23,1.1,10
1108,9.1,0.3,0.41,2,0.068,10,24,"Low",3.27,0.85,11.7
1091,10,0.26,0.54,1.9,0.083,42,74,"Low",2.98,0.63,11.8
871,7.7,0.715,0.01,2.1,0.064,31,43,"Low",3.41,0.57,11.8
650,6.7,0.42,0.27,8.6,0.068,24,148,"Low",3.16,0.57,11.3
854,9.3,0.36,0.39,1.5,0.08,41,55,"Medium",3.47,0.73,10.9
634,10.1,0.935,0.22,3.4,0.105,11,86,"High",3.43,0.64,11.3
413,7.1,0.735,0.16,1.9,0.1,15,77,"Medium",3.27,0.64,9.3
192,6.4,0.37,0.25,1.9,0.074,21,49,"Medium",3.57,0.62,9.8
321,9.8,0.66,0.39,3.2,0.083,21,59,"High",3.37,0.71,11.5
101,8.3,0.61,0.3,2.1,0.084,11,50,"Medium",3.4,0.61,10.2
1258,7,0.58,0.28,4.8,0.085,12,69,"Medium",3.32,0.7,11
1462,6.2,0.785,0,2.1,0.06,6,13,"Medium",3.59,0.61,10
1241,7.5,0.61,0.2,1.7,0.076,36,60,"Low",3.1,0.4,9.3
800,9.4,0.5,0.34,3.6,0.082,5,14,"High",3.29,0.52,10.7
1004,6.8,0.36,0.32,1.8,0.067,4,8,"Low",3.36,0.55,12.8
488,10.2,0.645,0.36,1.8,0.053,5,14,"High",3.17,0.42,10
471,13,0.32,0.65,2.6,0.093,15,47,"High",3.05,0.61,10.6
251,10.8,0.32,0.44,1.6,0.063,16,37,"High",3.22,0.78,10
30,7.8,0.645,0,2,0.082,8,16,"Medium",3.38,0.59,9.8
13,5.6,0.615,0,1.6,0.089,16,59,"Low",3.58,0.52,9.9
1391,6,0.49,0,2.3,0.068,15,33,"Low",3.58,0.59,12.5
875,10.4,0.38,0.46,2.1,0.104,6,10,"Medium",3.12,0.65,11.8
1079,8.6,0.37,0.65,6.4,0.08,3,8,"High",3.27,0.58,11
858,8.2,0.26,0.34,2.5,0.073,16,47,"Low",3.4,0.78,11.3
417,10.6,0.48,0.64,2.2,0.111,6,20,"Medium",3.26,0.66,11.7
621,8.3,0.54,0.24,3.4,0.076,16,112,"High",3.27,0.61,9.4
400,8.7,0.765,0.22,2.3,0.064,9,42,"Medium",3.1,0.55,9.4
180,8.8,0.61,0.14,2.4,0.067,10,42,"Medium",3.19,0.59,9.5
1482,8.2,0.28,0.6,3,0.104,10,22,"High",3.39,0.68,10.6
88,7.7,0.49,0.26,1.9,0.062,9,31,"Medium",3.39,0.64,9.6
1466,6.8,0.59,0.1,1.7,0.063,34,53,"Low",3.41,0.67,9.7
1245,5.9,0.29,0.25,13.4,0.067,72,160,"Medium",3.33,0.54,10.3
1008,9.1,0.3,0.34,2,0.064,12,25,"Low",3.26,0.84,11.7
787,9.9,0.35,0.41,2.3,0.083,11,61,"High",3.21,0.5,9.5
991,7.7,0.39,0.12,1.7,0.097,19,27,"Low",3.16,0.49,9.4
696,5.1,0.47,0.02,1.3,0.034,18,44,"Low",3.9,0.62,12.8
475,10.5,0.28,0.51,1.7,0.08,10,24,"High",3.2,0.89,9.4
458,9.2,0.63,0.21,2.7,0.097,29,65,"High",3.28,0.58,9.6
238,7.2,0.645,0,1.9,0.097,15,39,"Medium",3.37,0.58,9.2
17,8.5,0.28,0.56,1.8,0.092,35,103,"Medium",3.3,0.75,10.5
1395,6.4,0.57,0.14,3.9,0.07,27,73,"Medium",3.32,0.48,9.2
1,7.4,0.7,0,1.9,0.076,11,34,"High",3.51,0.56,9.4
1378,5.2,0.49,0.26,2.3,0.09,23,74,"Low",3.71,0.62,12.2
1083,7.2,0.38,0.3,1.8,0.073,31,70,"Medium",3.42,0.59,9.5
862,5.8,1.01,0.66,2,0.039,15,88,"Low",3.66,0.6,11.5
1066,7.7,0.61,0.18,2.4,0.083,6,20,"Medium",3.29,0.6,10.2
625,6.8,0.69,0,5.6,0.124,21,58,"High",3.46,0.72,10.2
404,11.4,0.6,0.49,2.7,0.085,10,41,"High",3.15,0.63,10.5
608,8.8,0.48,0.41,3.3,0.092,26,52,"High",3.31,0.53,10.5
167,6.8,0.64,0.1,2.1,0.085,18,101,"Low",3.34,0.52,10.2
1469,7.3,0.48,0.32,2.1,0.062,31,54,"Medium",3.3,0.65,10
75,9.7,0.32,0.54,2.5,0.094,28,83,"High",3.28,0.82,9.6
1453,6.6,0.58,0.02,2,0.062,37,53,"Low",3.35,0.76,11.6
1232,7.8,0.815,0.01,2.6,0.074,48,90,"Medium",3.38,0.62,10.8
1012,8.9,0.32,0.31,2,0.088,12,19,"Low",3.17,0.55,10.4
1215,10.2,0.33,0.46,1.9,0.081,6,9,"Medium",3.1,0.48,10.4
995,10,0.35,0.45,2.5,0.092,20,88,"High",3.15,0.43,9.4
554,5,1.04,0.24,1.6,0.05,32,96,"Low",3.74,0.62,11.5
683,8.5,0.46,0.31,2.25,0.078,32,58,"High",3.33,0.54,9.8
462,8.3,0.615,0.22,2.6,0.087,6,19,"High",3.26,0.61,9.3
242,12,0.38,0.56,2.1,0.093,6,24,"High",3.14,0.71,10.9
21,8.9,0.22,0.48,1.8,0.077,29,60,"Medium",3.39,0.53,9.4
225,8.4,0.635,0.36,2,0.089,15,55,"Medium",3.31,0.57,10.4
1382,6.8,0.83,0.09,1.8,0.074,4,25,"Low",3.38,0.45,9.6
1365,7.2,0.605,0.02,1.9,0.096,10,31,"Low",3.46,0.53,11.8
1070,8,0.62,0.35,2.8,0.086,28,52,"Medium",3.31,0.62,10.8
849,6.4,0.64,0.21,1.8,0.081,14,31,"Medium",3.59,0.66,9.8
1053,5.6,0.605,0.05,2.4,0.073,19,25,"Low",3.56,0.55,12.9
612,13.2,0.38,0.55,2.7,0.081,5,16,"High",2.98,0.54,9.4
595,7.9,0.72,0.17,2.6,0.096,20,38,"High",3.4,0.53,9.5
375,14,0.41,0.63,3.8,0.089,6,47,"High",3.01,0.81,10.8
154,7.5,0.6,0.03,1.8,0.095,25,99,"Low",3.35,0.54,10.1
1457,6,0.54,0.06,1.8,0.05,38,89,"Low",3.3,0.5,10.55
63,7.5,0.52,0.16,1.9,0.085,12,35,"Medium",3.38,0.62,9.5
1440,7.3,0.67,0.02,2.2,0.072,31,92,"Low",3.32,0.68,11.0666666666667
999,8.9,0.84,0.34,1.4,0.05,4,10,"Low",3.12,0.48,9.1
1203,8.6,0.42,0.39,1.8,0.068,6,12,"Low",3.35,0.69,11.7
982,9.5,0.86,0.26,1.9,0.079,13,28,"Medium",3.25,0.62,10
762,9.3,0.655,0.26,2,0.096,5,35,"Medium",3.25,0.42,9.6
541,9.2,0.59,0.24,3.3,0.101,20,47,"High",3.26,0.67,9.6
670,11.3,0.34,0.45,2,0.082,6,15,"High",2.94,0.66,9.2
229,7.7,0.43,0.25,2.6,0.073,29,63,"Medium",3.37,0.58,10.5
212,8,0.725,0.24,2.8,0.083,10,62,"Medium",3.35,0.56,10
1590,6.6,0.725,0.2,7.8,0.073,29,79,"High",3.29,0.54,9.2
1369,8,0.77,0.32,2.1,0.079,16,74,"Medium",3.27,0.5,9.8
1149,7.8,0.39,0.42,2,0.086,9,21,"Low",3.39,0.66,11.6
1352,7.2,0.62,0.01,2.3,0.065,8,46,"Low",3.32,0.51,11.8
1057,8.9,0.48,0.53,4,0.101,3,10,"Low",3.21,0.59,12.1
616,9.6,0.6,0.5,2.3,0.079,28,71,"High",3.5,0.57,9.7
820,9.1,0.66,0.15,3.2,0.097,9,59,"High",3.28,0.54,9.6
599,8.5,0.585,0.18,2.1,0.078,5,30,"Medium",3.2,0.48,9.8
379,11.4,0.625,0.66,6.2,0.088,6,24,"High",3.11,0.99,13.3
158,7.1,0.43,0.42,5.5,0.071,28,128,"Medium",3.42,0.71,10.5
362,8.6,0.45,0.31,2.6,0.086,21,50,"High",3.37,0.91,9.9
1444,6.9,0.58,0.2,1.75,0.058,8,22,"Low",3.38,0.49,11.7
1427,7.7,0.23,0.37,1.8,0.046,23,60,"Medium",3.41,0.71,12.1
1207,7.2,0.36,0.46,2.1,0.074,24,44,"Low",3.4,0.85,11
986,7.4,0.58,0,2,0.064,7,11,"Low",3.45,0.58,11.3
766,9.2,0.67,0.1,3,0.091,12,48,"High",3.31,0.54,9.5
749,7.2,0.5,0.18,2.1,0.071,12,31,"High",3.52,0.72,9.6
732,8.9,0.875,0.13,3.45,0.088,4,14,"High",3.44,0.52,11.5
437,8,0.67,0.3,2,0.06,38,62,"Low",3.26,0.56,10.2
216,7,0.49,0.49,5.6,0.06,26,121,"Medium",3.34,0.76,10.5
1594,6.8,0.62,0.08,1.9,0.068,28,38,"Medium",3.42,0.82,9.5
199,5.4,0.835,0.08,1.2,0.046,13,93,"Low",3.57,0.85,13
1577,8,0.3,0.63,1.6,0.081,16,29,"Low",3.3,0.78,10.8
1136,8,0.25,0.43,1.7,0.067,22,50,"Low",3.38,0.6,11.9
1340,7.5,0.51,0.02,1.7,0.084,13,31,"Low",3.36,0.54,10.5
1119,7.1,0.39,0.12,2.1,0.065,14,24,"Low",3.3,0.53,13.3
824,6.7,0.54,0.13,2,0.076,15,36,"Medium",3.61,0.64,9.8
603,7.7,0.835,0,2.6,0.081,6,14,"Medium",3.3,0.52,9.3
807,8.4,0.25,0.39,2,0.041,4,10,"Low",3.27,0.71,12.5
366,10,0.42,0.5,3.4,0.107,7,21,"High",3.26,0.93,11.8
349,9.6,0.56,0.31,2.8,0.089,15,46,"High",3.11,0.92,10
129,8,0.59,0.16,1.8,0.065,3,16,"Medium",3.42,0.92,10.5
1506,6.7,0.76,0.02,1.8,0.078,6,12,"Low",3.55,0.63,9.95
1211,6.8,0.65,0.02,2.1,0.078,8,15,"Low",3.35,0.62,10.4
1414,9.9,0.57,0.25,2,0.104,12,89,"Medium",3.04,0.9,10.1
1194,6.4,0.885,0,2.3,0.166,6,12,"Low",3.56,0.51,10.8
753,7.6,0.54,0.13,2.5,0.097,24,66,"High",3.39,0.61,9.4
957,9,0.36,0.52,2.1,0.111,5,10,"Low",3.31,0.62,11.3
736,7.7,0.965,0.1,2.1,0.112,11,22,"Medium",3.26,0.5,9.5
516,8.5,0.655,0.49,6.1,0.122,34,151,"High",3.31,1.14,9.3
295,13.3,0.34,0.52,3.2,0.094,17,53,"High",3.05,0.81,9.5
424,10.5,0.24,0.47,2.1,0.066,6,24,"High",3.15,0.9,11
1581,7.4,0.35,0.33,2.4,0.068,9,26,"Low",3.36,0.6,11.9
1564,7.2,0.695,0.13,2,0.076,12,20,"Low",3.29,0.54,10.1
1344,7.5,0.51,0.02,1.7,0.084,13,31,"Low",3.36,0.54,10.5
1123,6.3,0.47,0,1.4,0.055,27,33,"Low",3.45,0.48,12.3
811,7.3,0.49,0.1,2.6,0.068,4,14,"Low",3.3,0.47,10.5
370,9.4,0.27,0.53,2.4,0.074,6,18,"Medium",3.2,1.13,12
574,10.5,0.59,0.49,2.1,0.07,14,47,"High",3.3,0.56,9.6
353,7.7,0.665,0,2.4,0.09,8,19,"Medium",3.27,0.73,9.3
336,11.9,0.695,0.53,3.4,0.128,7,21,"High",3.17,0.84,12.2
116,9.4,0.4,0.31,2.2,0.09,13,62,"Medium",3.07,0.63,10.5
1198,7.7,0.57,0.21,1.5,0.069,4,9,"Low",3.16,0.54,9.8
1402,7.9,0.69,0.21,2.1,0.08,33,141,"Medium",3.25,0.51,9.9
1181,8.2,0.35,0.33,2.4,0.076,11,47,"Low",3.27,0.81,11
961,8.5,0.47,0.27,1.9,0.058,18,38,"Low",3.16,0.85,11.1
740,9,0.69,0,2.4,0.088,19,38,"High",3.35,0.6,9.3
944,9.8,0.5,0.34,2.3,0.094,10,45,"High",3.24,0.6,9.7
503,10.4,0.44,0.73,6.55,0.074,38,76,"High",3.17,0.85,12
282,7.7,0.27,0.68,3.5,0.358,5,10,"Medium",3.25,1.08,9.9
411,9,0.43,0.34,2.5,0.08,26,86,"High",3.38,0.62,9.5
191,8.2,0.5,0.35,2.9,0.077,21,127,"High",3.23,0.62,9.4
1568,7.2,0.695,0.13,2,0.076,12,20,"Low",3.29,0.54,10.1
1551,7.1,0.68,0,2.3,0.087,17,26,"High",3.45,0.53,9.5
1331,7.4,0.6,0.26,2.1,0.083,17,91,"Medium",3.29,0.56,9.8
1110,10.8,0.47,0.43,2.1,0.171,27,66,"High",3.17,0.76,10.8
890,10.7,0.9,0.34,6.6,0.112,23,99,"High",3.22,0.68,9.3
1094,9.2,0.31,0.36,2.2,0.079,11,31,"Medium",3.33,0.86,12
798,9.3,0.37,0.44,1.6,0.038,21,42,"Low",3.24,0.81,10.8
578,8.8,0.44,0.49,2.8,0.083,18,111,"High",3.3,0.6,9.5
357,11.5,0.41,0.52,3,0.08,29,55,"High",3.26,0.88,11
561,12.7,0.6,0.49,2.8,0.075,5,19,"High",3.14,0.57,11.4
120,7,0.69,0.08,1.8,0.097,22,89,"Low",3.34,0.54,9.2
1497,7.7,0.54,0.26,1.9,0.089,23,147,"Medium",3.26,0.59,9.7
103,8.1,0.545,0.18,1.9,0.08,13,35,"Medium",3.3,0.59,9
1185,6.7,0.64,0.23,2.1,0.08,11,119,"Low",3.36,0.7,10.9
1168,8.2,0.33,0.39,2.5,0.074,29,48,"Low",3.32,0.88,12.4
948,8.3,0.28,0.48,2.1,0.093,6,12,"Low",3.26,0.62,12.4
727,8.1,0.72,0.09,2.8,0.084,18,49,"High",3.43,0.72,11.1
507,10.4,0.24,0.46,1.8,0.075,6,21,"High",3.25,1.02,10.8
711,10.6,1.025,0.43,2.8,0.08,21,84,"High",3.06,0.57,10.1
490,9.3,0.39,0.4,2.6,0.073,10,26,"High",3.34,0.75,10.2
398,11.5,0.59,0.59,2.6,0.087,13,49,"High",3.18,0.65,11
178,7.5,0.52,0.42,2.3,0.087,8,38,"Medium",3.58,0.61,10.5
1335,7.2,0.835,0,2,0.166,4,11,"Medium",3.39,0.52,10
1539,6.2,0.64,0.09,2.5,0.081,15,26,"Low",3.57,0.63,12
1318,9.9,0.44,0.46,2.2,0.091,10,41,"Medium",3.18,0.69,11.9
877,7.1,0.47,0,2.2,0.067,7,14,"Low",3.4,0.58,10.9
1081,10.3,0.27,0.56,1.4,0.047,3,8,"Low",3.16,0.51,11.8
565,13,0.47,0.49,4.3,0.085,6,47,"High",3.3,0.68,12.7
344,10.9,0.39,0.47,1.8,0.118,6,14,"High",3.3,0.75,9.8
548,10.6,0.31,0.49,2.5,0.067,6,21,"High",3.26,0.86,10.7
107,7.8,0.41,0.68,1.7,0.467,18,69,"Medium",3.08,1.31,9.3
90,7,0.62,0.08,1.8,0.076,8,24,"High",3.48,0.53,9
1468,6.7,1.04,0.08,2.3,0.067,19,32,"Medium",3.52,0.57,11
952,8.3,0.28,0.48,2.1,0.093,6,12,"Low",3.26,0.62,12.4
1156,8.3,0.6,0.25,2.2,0.118,9,38,"Medium",3.15,0.53,9.8
935,6.6,0.61,0.01,1.9,0.08,8,25,"Medium",3.69,0.73,10.5
494,8.7,0.69,0.31,3,0.086,23,81,"High",3.48,0.74,11.6
698,7,0.65,0.02,2.1,0.066,8,25,"Medium",3.47,0.67,9.5
477,9.3,0.27,0.41,2,0.091,6,16,"High",3.28,0.7,9.7
257,9.4,0.34,0.37,2.2,0.075,5,13,"High",3.22,0.62,9.2
1559,6.9,0.63,0.33,6.7,0.235,66,115,"High",3.22,0.56,9.5
165,7.3,0.59,0.26,7.2,0.07,35,121,"High",3.37,0.49,9.4
1322,5,0.74,0,1.2,0.041,16,46,"Low",4.01,0.59,12.5
